HGNC ID,GENE,Approved name,Status,Previous symbols,Alias symbols,Chromosome,Accession numbers,RefSeq IDs,ENTREZ,ENSGID,GENE_GC%,CHR,START,END,GENE_BIOMART_OTHERS
HGNC:3005,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic",Approved,,"MPDS, CDGIE",20q13.13,AF007875,NM_003859,8813,ENSG00000000419,39.85,20,49551404,49575092,
HGNC:19285,SCYL3,SCY1 like pseudokinase 3,Approved,,"PACE-1, PACE1",1q24.2,BC014662,NM_181093,57147,ENSG00000000457,40.14,1,169818772,169863408,
HGNC:25565,C1orf112,chromosome 1 open reading frame 112,Approved,,FLJ10706,1q24.2,AL354614,NM_018186,55732,ENSG00000000460,39.22,1,169631245,169823221,
HGNC:3697,FGR,"FGR proto-oncogene, Src family tyrosine kinase",Approved,SRC2,"c-fgr, p55c-fgr",1p35.3,BC064382,NM_005248,2268,ENSG00000000938,52.97,1,27938575,27961788,
HGNC:4883,CFH,complement factor H,Approved,"HF, HF1, HF2","HUS, FHL1, ARMS1, ARMD4",1q31.3,Y00716,NM_000186,3075,ENSG00000000971,35.2,1,196621008,196716634,
HGNC:4008,FUCA2,alpha-L-fucosidase 2,Approved,,"MGC1314, dJ20N2.5",6q24.2,BC003060,NM_032020,2519,ENSG00000001036,39.69,6,143815948,143832827,
HGNC:4311,GCLC,glutamate-cysteine ligase catalytic subunit,Approved,"GLCLC, GLCL",GCS,6p12.1,M90656,,2729,ENSG00000001084,40.16,6,53362139,53481768,
HGNC:7804,NFYA,nuclear transcription factor Y subunit alpha,Approved,,"HAP2, CBF-B, NF-YA",6p21.1,,,4800,ENSG00000001167,40,6,41040684,41067715,
HGNC:28070,STPG1,sperm tail PG-rich repeat containing 1,Approved,C1orf201,"FLJ33340, MAPO2",1p36.11,BC047705,NM_178122,90529,ENSG00000001460,44.09,1,24683489,24743424,
HGNC:25233,NIPAL3,NIPA like domain containing 3,Approved,NPAL3,DJ462O23.2,1p36.11,BX640883,NM_020448,57185,ENSG00000001461,45,1,24742284,24799466,
HGNC:3359,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4,Approved,,"NPP4, KIAA0879, AP3Aase",6p21.1,AB020686,,22875,ENSG00000001561,36.06,6,46097730,46114436,
HGNC:10728,SEMA3F,semaphorin 3F,Approved,,"SEMAK, Sema4",3p21.31,U33920,NM_004186,6405,ENSG00000001617,57.74,3,50192478,50226508,
HGNC:1884,CFTR,CF transmembrane conductance regulator,Approved,"CF, ABCC7","MRP7, ABC35, TNR-CFTR, dJ760C5.1, CFTR/MRP",7q31.2,M28668,NM_000492,1080,ENSG00000001626,36.59,7,117105838,117356025,
